Comment,Designator,Footprint,LCSC,Quantity
8mR,"R3,R5",R_1206_3216Metric,C1021507,2
10uF 50V,"C4,C6,C7,C8",C_1210_3225Metric,C138687,4
100nF,"C2,C9",C_0603_1608Metric,C14663,2
100pF,C1,C_0603_1608Metric,C14858,1
2.2nF,C12,C_0603_1608Metric,C1604,1
270pF,C11,C_0603_1608Metric,C1608,1
4.7uH,L1,L_Coilcraft_XAL7030-472,C19191671,1
100R,"R1,R2",R_0603_1608Metric,C22775,2
6.19kR,R7,R_0603_1608Metric,C228022,1
11kR,"R6,R9",R_0603_1608Metric,C25950,2
105kR,R8,R_0603_1608Metric,C2933128,1
Barrel_Jack,"J1,J2",BarrelJack_Wuerth_6941xx301002,C3096082,2
33uF 50V,C5,C_Elec_6.3x7.7,C402500,1
205kR,R4,R_0603_1608Metric,C5126104,1
TPS43061RTE,U1,WQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,C527683,1
4.7nF,C13,C_0603_1608Metric,C53987,1
LED_Small,D1,LED_0402_1005Metric,C779449,1
CSD16327Q3,"Q1,Q2",VSON-8_3.3x3.3mm_P0.65mm_NexFET,C840100,2
10uF,C10,C_0603_1608Metric,C96446,1
